49081 records sent, 9814.2 records/sec (9.58 MB/sec), 1961.1 ms avg latency, 2935.0 ms max latency.
58050 records sent, 11610.0 records/sec (11.34 MB/sec), 2673.3 ms avg latency, 2761.0 ms max latency.
59175 records sent, 11835.0 records/sec (11.56 MB/sec), 2599.6 ms avg latency, 2665.0 ms max latency.
58320 records sent, 11664.0 records/sec (11.39 MB/sec), 2613.5 ms avg latency, 2674.0 ms max latency.
58335 records sent, 11664.7 records/sec (11.39 MB/sec), 2656.0 ms avg latency, 2741.0 ms max latency.
53940 records sent, 10788.0 records/sec (10.54 MB/sec), 2678.9 ms avg latency, 2983.0 ms max latency.
54390 records sent, 10878.0 records/sec (10.62 MB/sec), 2974.3 ms avg latency, 3247.0 ms max latency.
57480 records sent, 11461.6 records/sec (11.19 MB/sec), 2672.3 ms avg latency, 2735.0 ms max latency.
59145 records sent, 11829.0 records/sec (11.55 MB/sec), 2636.5 ms avg latency, 2716.0 ms max latency.
59475 records sent, 11895.0 records/sec (11.62 MB/sec), 2576.5 ms avg latency, 2611.0 ms max latency.
59565 records sent, 11913.0 records/sec (11.63 MB/sec), 2576.6 ms avg latency, 2609.0 ms max latency.
60075 records sent, 12015.0 records/sec (11.73 MB/sec), 2557.2 ms avg latency, 2594.0 ms max latency.
58155 records sent, 11631.0 records/sec (11.36 MB/sec), 2652.2 ms avg latency, 2758.0 ms max latency.
60195 records sent, 12039.0 records/sec (11.76 MB/sec), 2558.2 ms avg latency, 2586.0 ms max latency.
60390 records sent, 12078.0 records/sec (11.79 MB/sec), 2528.7 ms avg latency, 2559.0 ms max latency.
60465 records sent, 12093.0 records/sec (11.81 MB/sec), 2552.4 ms avg latency, 2575.0 ms max latency.
59775 records sent, 11952.6 records/sec (11.67 MB/sec), 2562.5 ms avg latency, 2599.0 ms max latency.
55530 records sent, 11103.8 records/sec (10.84 MB/sec), 2627.4 ms avg latency, 2921.0 ms max latency.
57195 records sent, 11439.0 records/sec (11.17 MB/sec), 2825.7 ms avg latency, 3104.0 ms max latency.
58275 records sent, 11655.0 records/sec (11.38 MB/sec), 2610.4 ms avg latency, 2661.0 ms max latency.
60030 records sent, 12006.0 records/sec (11.72 MB/sec), 2585.0 ms avg latency, 2664.0 ms max latency.
59970 records sent, 11994.0 records/sec (11.71 MB/sec), 2555.8 ms avg latency, 2590.0 ms max latency.
60015 records sent, 12003.0 records/sec (11.72 MB/sec), 2567.3 ms avg latency, 2620.0 ms max latency.
59805 records sent, 11961.0 records/sec (11.68 MB/sec), 2555.9 ms avg latency, 2592.0 ms max latency.
58950 records sent, 11787.6 records/sec (11.51 MB/sec), 2618.3 ms avg latency, 2715.0 ms max latency.
60420 records sent, 12084.0 records/sec (11.80 MB/sec), 2548.6 ms avg latency, 2590.0 ms max latency.
60870 records sent, 12174.0 records/sec (11.89 MB/sec), 2529.7 ms avg latency, 2556.0 ms max latency.
60390 records sent, 12078.0 records/sec (11.79 MB/sec), 2537.8 ms avg latency, 2577.0 ms max latency.
59625 records sent, 11922.6 records/sec (11.64 MB/sec), 2563.0 ms avg latency, 2617.0 ms max latency.
54195 records sent, 10839.0 records/sec (10.58 MB/sec), 2671.8 ms avg latency, 2973.0 ms max latency.
55485 records sent, 11097.0 records/sec (10.84 MB/sec), 2920.8 ms avg latency, 3205.0 ms max latency.
57975 records sent, 11592.7 records/sec (11.32 MB/sec), 2621.4 ms avg latency, 2717.0 ms max latency.
59835 records sent, 11967.0 records/sec (11.69 MB/sec), 2592.6 ms avg latency, 2716.0 ms max latency.
60285 records sent, 12057.0 records/sec (11.77 MB/sec), 2560.0 ms avg latency, 2624.0 ms max latency.
60405 records sent, 12081.0 records/sec (11.80 MB/sec), 2551.9 ms avg latency, 2601.0 ms max latency.
60630 records sent, 12126.0 records/sec (11.84 MB/sec), 2531.5 ms avg latency, 2570.0 ms max latency.
58665 records sent, 11733.0 records/sec (11.46 MB/sec), 2624.1 ms avg latency, 2705.0 ms max latency.
59940 records sent, 11988.0 records/sec (11.71 MB/sec), 2553.9 ms avg latency, 2575.0 ms max latency.
60735 records sent, 12115.5 records/sec (11.83 MB/sec), 2531.1 ms avg latency, 2567.0 ms max latency.
60360 records sent, 12072.0 records/sec (11.79 MB/sec), 2550.5 ms avg latency, 2587.0 ms max latency.
59670 records sent, 11934.0 records/sec (11.65 MB/sec), 2566.9 ms avg latency, 2630.0 ms max latency.
54675 records sent, 10935.0 records/sec (10.68 MB/sec), 2648.1 ms avg latency, 2959.0 ms max latency.
55830 records sent, 11166.0 records/sec (10.90 MB/sec), 2911.4 ms avg latency, 3218.0 ms max latency.
57660 records sent, 11532.0 records/sec (11.26 MB/sec), 2627.0 ms avg latency, 2733.0 ms max latency.
60195 records sent, 12036.6 records/sec (11.75 MB/sec), 2594.1 ms avg latency, 2724.0 ms max latency.
60705 records sent, 12138.6 records/sec (11.85 MB/sec), 2538.4 ms avg latency, 2569.0 ms max latency.
60360 records sent, 12072.0 records/sec (11.79 MB/sec), 2531.0 ms avg latency, 2592.0 ms max latency.
60735 records sent, 12147.0 records/sec (11.86 MB/sec), 2527.0 ms avg latency, 2586.0 ms max latency.
59550 records sent, 11910.0 records/sec (11.63 MB/sec), 2602.3 ms avg latency, 2695.0 ms max latency.
60435 records sent, 12087.0 records/sec (11.80 MB/sec), 2535.4 ms avg latency, 2573.0 ms max latency.
61245 records sent, 12249.0 records/sec (11.96 MB/sec), 2515.5 ms avg latency, 2542.0 ms max latency.
